MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
0.313067920592575	0.011	NA	NA	NA	NA	0	0.28735632183908	NA	PRELID2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRELP
NA	NA	NA	NA	NA	NA	NA	NA	NA	PREP
0.333887833285494	0.009	NA	NA	NA	NA	0	0.241379310344828	NA	PREPL
NA	NA	NA	NA	NA	NA	NA	NA	NA	PREX1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PREX2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRF1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRG2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRG4
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRH1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRH2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRICKLE1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRICKLE2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRICKLE4
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRIM1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRIM2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRIMA1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKAA1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKAA2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKAB1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKAB2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKACA
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKACB
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKACG
0.577113590291208	0.101	NA	NA	NA	NA	0	0.0229885057471264	NA	PRKAG1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKAG2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKAG3
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKAR1A
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKAR1B
0.0617243144171997	0.343	NA	NA	NA	NA	0	0.896551724137931	NA	PRKAR2A
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKAR2B
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKCA
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKCB
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKCD
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKCDBP
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKCE
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKCG
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKCH
0.362867821081793	0.016	NA	NA	NA	NA	0	0.839080459770115	NA	PRKCI
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKCQ
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKCSH
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKCZ
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKD1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKD2
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKD3
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKDC
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKG1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKG2
0.101407898642926	0.166	NA	NA	NA	NA	0	0.655172413793103	NA	PRKRA
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKRIP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKRIR
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRL
