HGNC ID	Approved symbol	Alias symbol	Previous symbol	NCBI gene ID
HGNC:16136	DPH3P1	dJ885L7.5	ZCSL1	100132911
HGNC:16136	DPH3P1	dJ885L7.5	DPH3B	100132911
HGNC:42360	DTX2P1-UPK3BP1-PMS2P11			441263
HGNC:3079	DUX1			26584
HGNC:3081	DUX3			26582
HGNC:3083	DUX5			26581
HGNC:3142	EBVM1			1887
HGNC:3143	EBVS1			1888
HGNC:53615	EEF1AKMT4-ECE2			110599583
HGNC:49187	EEF1E1-BLOC1S5			100526837
HGNC:38825	EPPIN-WFDC6		SPINLW1-WFDC6	100526773
HGNC:3442	ERDA1			9030
HGNC:22218	ERV3-2	KIAA1466		57612
HGNC:39060	ERV9-1	pTR2		100616497
HGNC:41524	ERV18-1			100133791
HGNC:14602	ERVE-1	HERV-E1	ERVE1	85314
HGNC:14602	ERVE-1	HERVE1	ERVE1	85314
HGNC:14602	ERVE-1	TCONS_00025599	ERVE1	85314
HGNC:39048	ERVE-2			100862691
HGNC:39049	ERVE-3			100862700
HGNC:39050	ERVE-4			100616105
HGNC:38137	ERVFC1-1	FLJ42291		346547
HGNC:38137	ERVFC1-1	envF(c)2		346547
HGNC:38137	ERVFC1-1	TCONS_l2_00027524		346547
HGNC:39047	ERVFH21-1	HERV-F(XA34)		100616104
HGNC:35201	ERVFRD-2	FLJ45949		388560
HGNC:49792	ERVFRD-3			100533725
HGNC:39053	ERVH-1	HERV-H4p15.2		100616446
HGNC:39054	ERVH-2	HERV-HX		100616461
HGNC:39055	ERVH-3	HERV-H/F		100289683
HGNC:39055	ERVH-3	TCONS_l2_00025412		100289683
HGNC:21344	ERVH-4	HERV-HD1		51359
HGNC:39057	ERVH-5			100862699
HGNC:39058	ERVH-6			51581
HGNC:39059	ERVH-7	TCONS_00022381		100862698
HGNC:53421	ERVH-8	envH1		
HGNC:53422	ERVH-9	envH2		
HGNC:53423	ERVH-10	envH3		
HGNC:53423	ERVH-10	envH/p59		
HGNC:17216	ERVH48-1		C21orf105	90625
HGNC:17216	ERVH48-1		NDUFV3-AS1	90625
HGNC:39052	ERVI-1			100131068
HGNC:39000	ERVK-1	c1_A		100862690
HGNC:39001	ERVK-2	c3_A		100616100
HGNC:39002	ERVK-3	c3_B		100862689
HGNC:13756	ERVK-4	HERV-K(I)	ERVK4	60359
HGNC:13757	ERVK-5	HERV-K(II)	ERVK5	60358
HGNC:13915	ERVK-6	HERV-K(HML-2.HOM)	ERVK6	64006
HGNC:13915	ERVK-6	HERV-K108	ERVK6	64006
HGNC:13915	ERVK-6	HERV-K(C7)	ERVK6	64006
HGNC:13915	ERVK-6	envK2	ERVK6	64006
HGNC:31828	ERVK-7	HERV-K(III)	ERVK7	449619
HGNC:31828	ERVK-7	HERV-K102	ERVK7	449619
HGNC:32302	ERVK-8	HERV-K115	ERVK8	619465
HGNC:32302	ERVK-8	envK6	ERVK8	619465
HGNC:39005	ERVK-9			100616102
HGNC:39004	ERVK-10			100616101
HGNC:39006	ERVK-11	c3_E		100862688
HGNC:39006	ERVK-11	N8.4		100862688
HGNC:39007	ERVK-12			100616442
HGNC:39008	ERVK-13	c3_D		100861467
HGNC:39019	ERVK-14	c7_B		100862687
HGNC:39022	ERVK-15	c7_C		100616443
HGNC:39022	ERVK-15	P1.10		100616443
HGNC:39023	ERVK-16	c10_A.		100616411
HGNC:39023	ERVK-16	M3.8		100616411
HGNC:39024	ERVK-17			100862686
HGNC:39025	ERVK-18	c1_C		100775105
HGNC:39025	ERVK-18	HERV-K18		100775105
HGNC:39026	ERVK-19	P1.8		100862685
HGNC:39026	ERVK-19	HERV-K(C19)		100862685
HGNC:39026	ERVK-19	envK3		100862685
HGNC:39031	ERVK-20	c11_B		100616444
HGNC:39035	ERVK-21	c12_A		100616103
HGNC:39035	ERVK-21	envK1		100616103
HGNC:39036	ERVK-22	c19_A		100616445
HGNC:39037	ERVK-23	c21_A		100616197
HGNC:39038	ERVK-24	c22_A		100862684
HGNC:39038	ERVK-24	HERV-K101		100862684
HGNC:39039	ERVK-25	c11_A		100862683
HGNC:44979	ERVK-26			103539957
HGNC:44980	ERVK-27			106144566
HGNC:44981	ERVK-28			106707175
HGNC:44982	ERVK-29			106144555
HGNC:51378	ERVK-30			106144591
HGNC:51379	ERVK-31			106144590
HGNC:53424	ERVK-32	envK4		110006328
HGNC:53424	ERVK-32	HERV-K109		110006328
HGNC:30466	ERVK3-1	HERV-K(HML6-1)		105372481
HGNC:39040	ERVK3-2	HML6-c14		100862697
HGNC:39108	ERVK3-3	HML6-c5		100616462
HGNC:39109	ERVK3-4	HML6-c11		100616106
HGNC:39110	ERVK3-5	HML6-c12		100616412
HGNC:39111	ERVK3-6	HML6-c19A		100616107
HGNC:39112	ERVK3-7	HML6-c19B		100616199
HGNC:39113	ERVK3-8			100616108
HGNC:50898	ERVK9-1			111188150
HGNC:50908	ERVK9-2			111188149
HGNC:50909	ERVK9-3			111188148
HGNC:50910	ERVK9-4			111188143
HGNC:51154	ERVK9-5			111188147
HGNC:51155	ERVK9-6			111188146
HGNC:51156	ERVK9-7			111188142
HGNC:51157	ERVK9-8			111188145
HGNC:51158	ERVK9-9	TCONS_00025543		111188137
HGNC:51159	ERVK9-10			111188144
HGNC:51160	ERVK9-11			111188141
HGNC:53627	ERVK9-12			105375011
HGNC:43647	ERVK11-1			100859922
HGNC:27548	ERVK13-1			100507321
HGNC:27919	ERVMER61-1		C1orf99	339476
HGNC:39042	ERVPABLB-1	envR(b)		100862693
HGNC:41525	ERVS71-1	envT		100862694
HGNC:41526	ERVS71-2	HERV-HC2		100616200
HGNC:37653	ERVW-2	NTrenv	ERVWE2	100379323
HGNC:39041	ERVW-3	CL4		100862696
HGNC:39043	ERVW-4	C187-23		100616496
HGNC:39044	ERVW-5	CL2		100862695
HGNC:39045	ERVW-6			100616198
HGNC:49246	ERVW-7			106144589
HGNC:49247	ERVW-8			106144559
HGNC:49248	ERVW-9			106699568
HGNC:49249	ERVW-10			106144579
HGNC:49250	ERVW-11			106144560
HGNC:49251	ERVW-12			106144580
HGNC:49252	ERVW-13			106144576
HGNC:49253	ERVW-14			106144561
HGNC:49254	ERVW-15			106144597
HGNC:49255	ERVW-16			106144581
HGNC:49256	ERVW-17			106144567
HGNC:49306	ERVW-18			106144562
HGNC:49307	ERVW-19			106144571
HGNC:49308	ERVW-20			106144604
HGNC:49309	ERVW-21			106144587
HGNC:49310	ERVW-22			106144563
HGNC:49311	ERVW-23			106144603
HGNC:49312	ERVW-24			106144564
HGNC:49313	ERVW-25			106144605
HGNC:49314	ERVW-26			106144572
HGNC:49315	ERVW-27			106144565
HGNC:49316	ERVW-28			105694156
HGNC:49378	ERVW-29			106144583
HGNC:3462	ESA4			2090
HGNC:3463	ESAT			2096
HGNC:3464	ESB3			2097
HGNC:3545	F7R	F7E		2156
HGNC:23587	FAM25E	AC012044.5	FAM25D	643479
HGNC:23587	FAM25E	bA592B15.5	FAM25D	643479
HGNC:44667	FAM47E-STBD1			100631383
HGNC:32450	FAM106B			100996259
HGNC:38396	FAM106C		FAM106C	100129396
HGNC:38396	FAM106C		FAM106CP	100129396
HGNC:41997	FKBP1A-SDCBP2			100528031
HGNC:21376	FKBP1C	bA184C23.2		642489
HGNC:44671	FMC1-LUC7L2		C7orf55-LUC7L2	100996928
HGNC:13636	FOLH1B	PSMAL	FOLH2	219595
HGNC:13636	FOLH1B	PSMAL	FOLHP	219595
HGNC:42952	FPGT-TNNI3K			100526835
HGNC:3868	FRA1A			2360
HGNC:3869	FRA1B			2361
HGNC:3870	FRA1C			2362
HGNC:3871	FRA1D			2363
HGNC:3872	FRA1E			2364
HGNC:3873	FRA1F			2365
HGNC:3874	FRA1G			2366
HGNC:3875	FRA1H			2367
HGNC:3876	FRA1I			2368
HGNC:3877	FRA1J			2369
HGNC:3878	FRA1K			2370
HGNC:3879	FRA1L			2371
HGNC:3880	FRA1M			2372
HGNC:3885	FRA2A			2373
HGNC:3886	FRA2B			2374
HGNC:3887	FRA2C			2375
HGNC:3888	FRA2D			2376
HGNC:3889	FRA2E			2377
HGNC:3890	FRA2F			2378
HGNC:3891	FRA2G			2379
HGNC:3892	FRA2H			2380
HGNC:3893	FRA2I			2381
HGNC:3894	FRA2J			2382
HGNC:3895	FRA2K			2383
HGNC:3896	FRA3A			2384
HGNC:3897	FRA3B			
HGNC:3898	FRA3C			2386
HGNC:3899	FRA3D			2387
HGNC:3900	FRA4A			2388
HGNC:3901	FRA4B			2389
HGNC:3902	FRA4C			2390
HGNC:3903	FRA4D			2391
HGNC:3905	FRA5A			2393
HGNC:3906	FRA5B			2394
HGNC:3907	FRA5C			2396
HGNC:3908	FRA5D			2397
HGNC:3909	FRA5E			2398
HGNC:3910	FRA5F			2399
HGNC:3911	FRA5G			2400
HGNC:3912	FRA6A			2401
HGNC:3913	FRA6B			2402
HGNC:3914	FRA6C			2403
HGNC:3915	FRA6D			2404
HGNC:3916	FRA6E			2405
HGNC:3917	FRA6F			2406
HGNC:3918	FRA6G			2407
HGNC:3919	FRA7A			2408
HGNC:3920	FRA7B			2409
HGNC:3921	FRA7C			2410
HGNC:3922	FRA7D			2411
HGNC:3923	FRA7E			2412
HGNC:3924	FRA7F			2413
HGNC:3925	FRA7G	D7S486		2414
HGNC:3926	FRA7H			2415
HGNC:3927	FRA7I			2416
HGNC:3928	FRA7J			2417
HGNC:3929	FRA8A			2418
HGNC:3930	FRA8B			2419
HGNC:3931	FRA8C			2421
HGNC:3932	FRA8D			2422
HGNC:3933	FRA8E			2423
HGNC:3935	FRA9A			2425
HGNC:3936	FRA9B			2426
HGNC:3937	FRA9C			2427
HGNC:3938	FRA9D			2428
HGNC:3939	FRA9E			2429
HGNC:3940	FRA9F			2430
HGNC:3829	FRA10A			2431
HGNC:3830	FRA10B			2432
HGNC:3831	FRA10C			2433
HGNC:3832	FRA10D			2434
HGNC:3833	FRA10E			2435
HGNC:3834	FRA10F			2436
HGNC:3835	FRA10G			2437
HGNC:3836	FRA11A			2438
HGNC:3837	FRA11B			
HGNC:3838	FRA11C			2440
HGNC:3839	FRA11D			2441
HGNC:3840	FRA11E			2442
HGNC:3841	FRA11F			2443
HGNC:3842	FRA11G			2445
HGNC:3843	FRA11H			2446
HGNC:3844	FRA11I			2447
HGNC:3845	FRA12A			2448
HGNC:3846	FRA12B			2449
HGNC:3847	FRA12C			2450
HGNC:3848	FRA12D			2451
HGNC:3849	FRA12E			2452
HGNC:3850	FRA13A			2453
HGNC:3851	FRA13B			2454
HGNC:3852	FRA13C			2455
HGNC:3853	FRA13D			2456
HGNC:3854	FRA14B			2457
HGNC:3855	FRA14C			2458
HGNC:3856	FRA15A			2459
HGNC:3857	FRA16A			2460
HGNC:3858	FRA16B			2461
HGNC:3859	FRA16C			2462
HGNC:3860	FRA16D			2463
HGNC:3861	FRA16E			2464
HGNC:3862	FRA17A			2465
HGNC:3863	FRA17B			2466
HGNC:3864	FRA18A			2467
HGNC:3865	FRA18B			2468
HGNC:16929	FRA18C			116710
HGNC:3866	FRA19A			2469
HGNC:3867	FRA19B			2470
HGNC:3881	FRA20A			2471
HGNC:3882	FRA20B			2472
HGNC:3883	FRA22A			2473
HGNC:3884	FRA22B			2474
HGNC:3945	FRAXA			2477
HGNC:3946	FRAXB			2478
HGNC:3947	FRAXC			2479
HGNC:3948	FRAXD			2480
HGNC:3949	FRAXE			2481
HGNC:3950	FRAXF			2482
HGNC:3988	FTHL18		FTH1P18	441490
HGNC:39978	FXYD6-FXYD2			100533181
HGNC:4059	G6PR	GSD1aSP		2541
HGNC:26424	GCOM1	FLJ30973		145781
HGNC:26424	GCOM1	GRINL1A		145781
HGNC:26424	GCOM1	MYZAP-POLR2M		145781
HGNC:51257	GIMAP1-GIMAP5			100527949
HGNC:37441	GOLGA6L3			100133220
HGNC:4493	GPR36			2860
HGNC:40043	GPR75-ASB3			100302652
HGNC:4694	GUK2			2988
HGNC:32060	HIST2H3PS2	p06		440686
HGNC:4946	HLA-DQB3	D6S205	HLA-DVB	3121
HGNC:4946	HLA-DQB3	D6S205E	HLA-DVB	3121
HGNC:4946	HLA-DQB3	DVB	HLA-DVB	3121
HGNC:4946	HLA-DQB3	DQB3	HLA-DVB	3121
HGNC:48778	HNRNPA1P48			642659
HGNC:49189	HNRNPUL2-BSCL2			100534595
HGNC:5098	HOXA@		HOX1@	3197
HGNC:5110	HOXB@		HOX2@	3210
HGNC:5121	HOXC@		HOX3@	3220
HGNC:5131	HOXD@		HOX4@	3230
HGNC:5168	HPV6AI1			3259
HGNC:5166	HPV18I1		HPV18I	3260
HGNC:5166	HPV18I1		D8S37	3260
HGNC:5167	HPV18I2	PAL2		3261
HGNC:5180	HRES1	HRES-1/p28		3272
HGNC:5180	HRES1	HRES-1		3272
HGNC:41996	HSPB2-C11orf52			100528019
HGNC:49184	HSPE1-MOB4			100529241
HGNC:5285	HTOR			3349
HGNC:5314	HVBS7			3369
HGNC:5315	HVBS8			3370
HGNC:5447	IFNR			3466
HGNC:5478	IGHA1			3493
HGNC:5479	IGHA2			3494
HGNC:5480	IGHD	FLJ00382		3495
HGNC:5480	IGHD	FLJ46727		3495
HGNC:5480	IGHD	MGC29633		3495
HGNC:5482	IGHD1-1	IGHD11		28510
HGNC:5486	IGHD1-7	DM1		28509
HGNC:5486	IGHD1-7	IGHD17		28509
HGNC:5483	IGHD1-14	IGHD114		28508
HGNC:5483	IGHD1-14	DM2		28508
HGNC:5484	IGHD1-20	IGHD120		28507
HGNC:5485	IGHD1-26	IGHD126		28506
HGNC:5487	IGHD1OR15-1A	IGHD1/OR15-1A		28335
HGNC:5487	IGHD1OR15-1A	IGHD1OR151A		28335
HGNC:5488	IGHD1OR15-1B	IGHD1/OR15-1B		28334
HGNC:5488	IGHD1OR15-1B	IGHD1OR151B		28334
HGNC:5490	IGHD2-2	IGHD22		28505
HGNC:5492	IGHD2-8	IGHD28		28504
HGNC:5492	IGHD2-8	DLR1		28504
