MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABLIM2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABLIM3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABO
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABR
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABRA
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABT1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABTB1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABTB2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACAA1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACAA2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACACA
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACACB
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACAD10
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACAD11
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACAD8
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACAD9
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACADL
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACADM
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACADS
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACADSB
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACADVL
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACAN
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACAP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACAP2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACAP3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACAT1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACAT2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACBD3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACBD4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACBD5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACBD6
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACBD7
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACCS
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACD
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACE
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACER1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACER2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACER3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACHE
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACIN1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACLY
0.132210247990956	0.057	NA	NA	NA	NA	0	0.31638418079096	NA	ACMSD
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACN9
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACO1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACO2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACOT1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACOT11
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACOT12
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACOT13
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACOT2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACOT4
0.262365526582961	0.123	NA	NA	NA	NA	0	0.966101694915254	NA	ACOT6
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACOT7
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACOT8
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACOX1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACOX2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACOX3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACOXL
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACP2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACP5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACP6
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACPL2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACPP
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACPT
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACR
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACRBP
0.031082341729002	0.335	NA	NA	NA	NA	0	0.677966101694915	NA	ACRV1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACSBG1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACSBG2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACSF2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACSF3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACSL1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACSL3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACSL5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACSL6
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACSM1
0.821952314476654	0	NA	NA	NA	NA	0	0.0395480225988701	NA	ACSM2A
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACSM3
0.397036467538435	0.011	NA	NA	NA	NA	0	0.0564971751412429	NA	ACSM5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACSS1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACSS2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACSS3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACTA1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACTA2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACTB
