GENE	gain_p_value	gain_fdr	loss_p_value	loss_fdr	gain_sample_prop	normal_sample_prop	loss_sample_prop	gain_exp_mean	normal_exp_mean	loss_exp_mean	gain_vs_rest_exp_diff	loss_vs_exp_diff
LGI3	0.299568232074947	0.376291111985662	0.7027846496394	0.753765540289828	0.206521739130435	0.340579710144928	0.452898550724638	1.43769649122807	1.21078936170213	1.2381384	0.211296947849075	-0.058304646357616
C8orf48	0.303184528868016	0.38018010416872	0.444997495407237	0.512169023531333	0.210144927536232	0.322463768115942	0.467391304347826	2.43114482758621	2.12132247191011	2.34297131782946	0.17866317621006	0.0994060117070084
ANGPT4	0.331074750997765	0.407996746732678	0.173986726072834	0.224440930473709	0.409420289855072	0.384057971014493	0.206521739130435	0.427244247787611	0.395346226415094	0.30160350877193	0.064679217112764	-0.11020151405912
USP17L2	0.332325092266344	0.409307515325046	0.0156990893612323	0.0242045117725149	0.210144927536232	0.347826086956522	0.442028985507246	0.122518965517241	0.11925625	0.0495655737704918	0.0422639196456817	-0.0709194911645731
SGCZ	0.33439971362573	0.411323530300435	0.724003450617297	0.771679278580775	0.210144927536232	0.322463768115942	0.467391304347826	0.137670689655172	0.0880269662921348	0.0949496124031008	0.0455472951597596	-0.0126646733111849
FGF20	0.336075359779085	0.412921285497299	0.398735421965046	0.466725831394254	0.206521739130435	0.33695652173913	0.456521739130435	1.76681929824561	1.5475064516129	1.43894444444444	0.281773179524153	-0.191900888888889
GATA4	0.336914024479925	0.413565423479744	0.121195175978814	0.162521321741357	0.210144927536232	0.358695652173913	0.431159420289855	2.30412068965517	2.10582121212121	1.63109915966387	0.457436744701044	-0.547979184285179
CLU	0.33896259110559	0.415719029789006	0.314604113107116	0.379218388754409	0.210144927536232	0.355072463768116	0.434782608695652	9.77146379310345	9.60177551020408	9.46821083333333	0.243210123378677	-0.19665391025641
SFTPC	0.342768178712925	0.41965493510702	0.780104189575455	0.819358066145622	0.206521739130435	0.340579710144928	0.452898550724638	0.369885964912281	0.141314893617021	0.2639624	0.158566786830089	0.0363657112582781
GFRA2	0.352472830280994	0.430015545308496	0.42499524242312	0.493580829128362	0.202898550724638	0.33695652173913	0.460144927536232	3.05992321428571	2.90882795698925	2.82499921259843	0.199487305194805	-0.140616223643186
SLC4A11	0.365082628033052	0.443343508968497	5.68232225260187e-05	0.000110554839946235	0.41304347826087	0.384057971014493	0.202898550724638	6.58205701754386	6.83902075471698	5.49526964285714	0.207542820012995	-1.21059717532468
CSMD1	0.401976644523716	0.482445326830744	0.292396140867295	0.355514865002855	0.228260869565217	0.344202898550725	0.427536231884058	0.962433333333333	0.887028421052632	0.791241525423729	0.128469953051643	-0.125853411285132
SNPH	0.402388371851743	0.482851363194474	1.17319727178262e-05	2.4279762291311e-05	0.409420289855072	0.384057971014493	0.206521739130435	6.08329734513274	6.56920283018868	5.54371929824561	-0.127300814376459	-0.774765176640231
SCARA5	0.425162103434077	0.505475624419003	0.312837983554012	0.377780528307502	0.22463768115942	0.347826086956522	0.427536231884058	4.20563870967742	4.351515625	4.57308983050847	-0.268053346397346	0.278817045698348
PURG	0.435060452698752	0.515380511059022	0.605260685334017	0.663514149583132	0.239130434782609	0.358695652173913	0.402173913043478	1.14505	0.98499797979798	1.1031036036036	0.0976247619047619	0.0540848157248159
RAD21L1	0.442711184059247	0.52274891518091	0.000215232502720676	0.000399222973482299	0.409420289855072	0.384057971014493	0.206521739130435	0.133248672566372	0.143666037735849	0.026259649122807	0.0306388566154514	-0.112031218457102
SCRT2	0.447415210840953	0.5270732297512	0.209154354363892	0.264264321194367	0.409420289855072	0.384057971014493	0.206521739130435	0.120962831858407	0.0796924528301887	0.0490824561403509	0.0519744883001249	-0.0519047584715213
NEFM	0.461543429984308	0.540233340275279	0.984448957817638	0.987875362717591	0.210144927536232	0.347826086956522	0.442028985507246	1.92823965517241	1.72243958333333	1.79684262295082	0.164161673521038	-0.00310607834788157
SCARA3	0.514193942251316	0.590923214780168	0.882249822791866	0.904002317312056	0.210144927536232	0.355072463768116	0.434782608695652	6.90486724137931	6.74831224489796	6.78263416666667	0.137662195507751	-0.0238844230769226
DEFA1B	0.516868641824145	0.593334466610895	0.0266174570992264	0.0397752930348985	0.22463768115942	0.340579710144928	0.434782608695652	0.800037096774194	0.851246808510638	0.584329166666667	0.0984637322882123	-0.246565064102564
CHRNA2	0.546133613498105	0.622193101676258	0.433393725282865	0.501692661161821	0.210144927536232	0.355072463768116	0.434782608695652	0.343610344827586	0.27394387755102	0.238776666666667	0.0890245650110725	-0.0610688461538461
SIGLEC1	0.574552483365055	0.64917225272152	0.0733787441711285	0.102419409035224	0.409420289855072	0.38768115942029	0.202898550724638	6.27184513274336	6.64325700934579	5.93555	-0.128273272164613	-0.516936363636364
STMN4	0.575357230641985	0.649635245004813	0.691227498430852	0.742232879483595	0.210144927536232	0.355072463768116	0.434782608695652	0.728229310344828	0.589097959183673	0.684374166666667	0.0866857323631762	0.0435478846153846
TUSC3	0.584288500146393	0.658243980152277	0.431131843011168	0.499483072431551	0.206521739130435	0.333333333333333	0.460144927536232	5.95300877192982	6.00929347826087	6.11152834645669	-0.115571593366979	0.123766601490249
DUSP26	0.608136827369115	0.678953643457251	0.141090179559907	0.186438698168305	0.253623188405797	0.369565217391304	0.376811594202899	1.95500285714286	1.92500784313725	2.1736375	-0.0955267545076284	0.23642238372093
TEX15	0.62013915746146	0.68989432317727	0.917399457136289	0.933178323212723	0.239130434782609	0.36231884057971	0.398550724637681	0.302731818181818	0.220454	0.264029090909091	0.0594527705627705	0.0108622234392114
STC1	0.621434058070629	0.690633964165347	0.695853400507905	0.746852428232425	0.210144927536232	0.347826086956522	0.442028985507246	7.95111551724138	8.03691041666667	8.06141147540984	-0.0995065011072453	0.056813423461783
NRG1	0.631816196566287	0.700037015826419	0.736338375646199	0.781396118439364	0.242753623188406	0.358695652173913	0.398550724637681	3.41549552238806	3.22564747474747	3.36805454545455	0.114896957794759	0.0657816538882803
EBF2	0.639191749311321	0.706311178632486	0.857511991121394	0.882984536384528	0.210144927536232	0.351449275362319	0.438405797101449	1.64169827586207	1.54377422680412	1.55171074380165	0.0935189180639038	-0.0287060303918956
