MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	NA	NA	NA	NA	NA	NA	NA	MRPS18C
NA	NA	NA	NA	NA	NA	NA	NA	NA	MRPS2
NA	NA	NA	NA	NA	NA	NA	NA	NA	MRPS21
0.192439372408745	0.271	NA	NA	NA	NA	0	0.0112994350282486	NA	MRPS22
NA	NA	NA	NA	NA	NA	NA	NA	NA	MRPS23
NA	NA	NA	NA	NA	NA	NA	NA	NA	MRPS24
NA	NA	NA	NA	NA	NA	NA	NA	NA	MRPS25
NA	NA	NA	NA	NA	NA	NA	NA	NA	MRPS26
NA	NA	NA	NA	NA	NA	NA	NA	NA	MRPS27
NA	NA	NA	NA	NA	NA	NA	NA	NA	MRPS28
NA	NA	NA	NA	NA	NA	NA	NA	NA	MRPS30
NA	NA	NA	NA	NA	NA	NA	NA	NA	MRPS31
NA	NA	NA	NA	NA	NA	NA	NA	NA	MRPS33
NA	NA	NA	NA	NA	NA	NA	NA	NA	MRPS34
NA	NA	NA	NA	NA	NA	NA	NA	NA	MRPS35
NA	NA	NA	NA	NA	NA	NA	NA	NA	MRPS36
NA	NA	NA	NA	NA	NA	NA	NA	NA	MRPS5
NA	NA	NA	NA	NA	NA	NA	NA	NA	MRPS6
NA	NA	NA	NA	NA	NA	NA	NA	NA	MRPS7
NA	NA	NA	NA	NA	NA	NA	NA	NA	MRPS9
NA	NA	NA	NA	NA	NA	NA	NA	NA	MRRF
NA	NA	NA	NA	NA	NA	NA	NA	NA	MRS2
NA	NA	NA	NA	NA	NA	NA	NA	NA	MRTO4
NA	NA	NA	NA	NA	NA	NA	NA	NA	MRVI1
NA	NA	NA	NA	NA	NA	NA	NA	NA	MS4A1
NA	NA	NA	NA	NA	NA	NA	NA	NA	MS4A10
NA	NA	NA	NA	NA	NA	NA	NA	NA	MS4A12
NA	NA	NA	NA	NA	NA	NA	NA	NA	MS4A14
NA	NA	NA	NA	NA	NA	NA	NA	NA	MS4A15
NA	NA	NA	NA	NA	NA	NA	NA	NA	MS4A2
NA	NA	NA	NA	NA	NA	NA	NA	NA	MS4A3
NA	NA	NA	NA	NA	NA	NA	NA	NA	MS4A4A
NA	NA	NA	NA	NA	NA	NA	NA	NA	MS4A6A
NA	NA	NA	NA	NA	NA	NA	NA	NA	MS4A6E
NA	NA	NA	NA	NA	NA	NA	NA	NA	MS4A7
0.147769350169864	0.077	NA	NA	NA	NA	0	0.175141242937853	NA	MSC
NA	NA	NA	NA	NA	NA	NA	NA	NA	MSH2
NA	NA	NA	NA	NA	NA	NA	NA	NA	MSH3
NA	NA	NA	NA	NA	NA	NA	NA	NA	MSH4
NA	NA	NA	NA	NA	NA	NA	NA	NA	MSH5
NA	NA	NA	NA	NA	NA	NA	NA	NA	MSH6
NA	NA	NA	NA	NA	NA	NA	NA	NA	MSI1
NA	NA	NA	NA	NA	NA	NA	NA	NA	MSI2
0.1611361817694	0.122	NA	NA	NA	NA	0	0.92090395480226	NA	MSL1
NA	NA	NA	NA	NA	NA	NA	NA	NA	MSL2
NA	NA	NA	NA	NA	NA	NA	NA	NA	MSLN
NA	NA	NA	NA	NA	NA	NA	NA	NA	MSLNL
NA	NA	NA	NA	NA	NA	NA	NA	NA	MSMB
NA	NA	NA	NA	NA	NA	NA	NA	NA	MSMP
NA	NA	NA	NA	NA	NA	NA	NA	NA	MSR1
NA	NA	NA	NA	NA	NA	NA	NA	NA	MSRA
0.345668728806532	0	NA	NA	NA	NA	0	0.259887005649718	NA	MSRB2
NA	NA	NA	NA	NA	NA	NA	NA	NA	MSRB3
NA	NA	NA	NA	NA	NA	NA	NA	NA	MST1
NA	NA	NA	NA	NA	NA	NA	NA	NA	MST1R
NA	NA	NA	NA	NA	NA	NA	NA	NA	MSTN
NA	NA	NA	NA	NA	NA	NA	NA	NA	MSTO1
NA	NA	NA	NA	NA	NA	NA	NA	NA	MSX1
NA	NA	NA	NA	NA	NA	NA	NA	NA	MSX2
NA	NA	NA	NA	NA	NA	NA	NA	NA	MT1A
0.319985119165089	0.058	NA	NA	NA	NA	0	0.96045197740113	NA	MT1DP
0.766198426817304	0.06	NA	NA	NA	NA	0	0.988700564971751	NA	MT1E
NA	NA	NA	NA	NA	NA	NA	NA	NA	MT1F
NA	NA	NA	NA	NA	NA	NA	NA	NA	MT1G
NA	NA	NA	NA	NA	NA	NA	NA	NA	MT1H
NA	NA	NA	NA	NA	NA	NA	NA	NA	MT1L
NA	NA	NA	NA	NA	NA	NA	NA	NA	MT1M
NA	NA	NA	NA	NA	NA	NA	NA	NA	MT1X
0.131970771966039	0.056	NA	NA	NA	NA	0	0.632768361581921	NA	MT2A
0.267425119164469	0.002	NA	NA	NA	NA	0	0.254237288135593	NA	MT3
