MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	NA	NA	NA	NA	NA	NA	NA	NAALADL2
0.660615263591538	0	NA	NA	NA	NA	0	0.0289855072463768	NA	NAB1
0.215779329545538	0.026	NA	NA	NA	NA	0	0.91304347826087	NA	NAB2
NA	NA	NA	NA	NA	NA	NA	NA	NA	NACA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NACA2
NA	NA	NA	NA	NA	NA	NA	NA	NA	NACAD
NA	NA	NA	NA	NA	NA	NA	NA	NA	NACAP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	NACC1
NA	NA	NA	NA	NA	NA	NA	NA	NA	NACC2
NA	NA	NA	NA	NA	NA	NA	NA	NA	NADK
NA	NA	NA	NA	NA	NA	NA	NA	NA	NADSYN1
NA	NA	NA	NA	NA	NA	NA	NA	NA	NAE1
0.478494595671922	0.007	NA	NA	NA	NA	0	0.0253623188405797	NA	NAF1
NA	NA	NA	NA	NA	NA	NA	NA	NA	NAGA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NAGK
NA	NA	NA	NA	NA	NA	NA	NA	NA	NAGLU
NA	NA	NA	NA	NA	NA	NA	NA	NA	NAGPA
0.173268759221238	0.013	NA	NA	NA	NA	0	0.83695652173913	NA	NAGS
NA	NA	NA	NA	NA	NA	NA	NA	NA	NAIF1
NA	NA	NA	NA	NA	NA	NA	NA	NA	NAIP
NA	NA	NA	NA	NA	NA	NA	NA	NA	NALCN
0.47844585053507	0.014	NA	NA	NA	NA	0	0.0217391304347826	NA	NAMPT
NA	NA	NA	NA	NA	NA	NA	NA	NA	NANOG
0.0967270639225697	0.072	NA	NA	NA	NA	0	0.601449275362319	NA	NANOS1
NA	NA	NA	NA	NA	NA	NA	NA	NA	NANOS3
0.435481121598149	0.012	NA	NA	NA	NA	0	0.967391304347826	NA	NANP
0.628912475845843	0	NA	NA	NA	NA	0	0.134057971014493	NA	NANS
NA	NA	NA	NA	NA	NA	NA	NA	NA	NAP1L1
NA	NA	NA	NA	NA	NA	NA	NA	NA	NAP1L4
NA	NA	NA	NA	NA	NA	NA	NA	NA	NAP1L5
0.664352243591758	0.001	NA	NA	NA	NA	0	0.971014492753623	NA	NAPA
0.120367691695523	0.159	NA	NA	NA	NA	0	0.0688405797101449	NA	NAPB
NA	NA	NA	NA	NA	NA	NA	NA	NA	NAPEPLD
NA	NA	NA	NA	NA	NA	NA	NA	NA	NAPG
0.308859500096488	0.17	NA	NA	NA	NA	0	0.0108695652173913	NA	NAPRT1
NA	NA	NA	NA	NA	NA	NA	NA	NA	NAPSA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NAPSB
NA	NA	NA	NA	NA	NA	NA	NA	NA	NARF
NA	NA	NA	NA	NA	NA	NA	NA	NA	NARFL
0.233735211439365	0	NA	NA	NA	NA	0	0.394927536231884	NA	NARG2
1.22804245548886	0.008	NA	NA	NA	NA	0	0.0072463768115942	NA	NARS
NA	NA	NA	NA	NA	NA	NA	NA	NA	NARS2
NA	NA	NA	NA	NA	NA	NA	NA	NA	NASP
NA	NA	NA	NA	NA	NA	NA	NA	NA	NAT1
NA	NA	NA	NA	NA	NA	NA	NA	NA	NAT10
NA	NA	NA	NA	NA	NA	NA	NA	NA	NAT14
NA	NA	NA	NA	NA	NA	NA	NA	NA	NAT2
NA	NA	NA	NA	NA	NA	NA	NA	NA	NAT6
NA	NA	NA	NA	NA	NA	NA	NA	NA	NAT8
NA	NA	NA	NA	NA	NA	NA	NA	NA	NAT8L
0.074621509694434	0.123	NA	NA	NA	NA	0	0.72463768115942	NA	NAT9
NA	NA	NA	NA	NA	NA	NA	NA	NA	NAV1
NA	NA	NA	NA	NA	NA	NA	NA	NA	NAV2
NA	NA	NA	NA	NA	NA	NA	NA	NA	NAV3
NA	NA	NA	NA	NA	NA	NA	NA	NA	NBAS
NA	NA	NA	NA	NA	NA	NA	NA	NA	NBEA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NBEAL1
NA	NA	NA	NA	NA	NA	NA	NA	NA	NBEAL2
NA	NA	NA	NA	NA	NA	NA	NA	NA	NBL1
NA	NA	NA	NA	NA	NA	NA	NA	NA	NBN
0.259239830167536	0.006	NA	NA	NA	NA	0	0.909420289855073	NA	NBPF1
NA	NA	NA	NA	NA	NA	NA	NA	NA	NBPF10
NA	NA	NA	NA	NA	NA	NA	NA	NA	NBPF14
NA	NA	NA	NA	NA	NA	NA	NA	NA	NBPF15
NA	NA	NA	NA	NA	NA	NA	NA	NA	NBPF16
NA	NA	NA	NA	NA	NA	NA	NA	NA	NBPF22P
0.182627979073342	0.005	NA	NA	NA	NA	0	0.278985507246377	NA	NBPF3
NA	NA	NA	NA	NA	NA	NA	NA	NA	NBPF4
NA	NA	NA	NA	NA	NA	NA	NA	NA	NBPF6
NA	NA	NA	NA	NA	NA	NA	NA	NA	NBPF9
NA	NA	NA	NA	NA	NA	NA	NA	NA	NBR1
0.323132159429555	0.013	NA	NA	NA	NA	0	0.0434782608695652	NA	NBR2
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCALD
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCAM1
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCAM2
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCAN
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCAPD2
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCAPD3
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCAPG
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCAPG2
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCAPH
0.347944803844088	0	NA	NA	NA	NA	0	0.358695652173913	NA	NCAPH2
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCBP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCBP2
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCCRP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCDN
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCEH1
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCF1
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCF1B
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCF2
0.69624551441924	0.075	NA	NA	NA	NA	0	0.0072463768115942	NA	NCF4
0.0249390333913106	0.337	NA	NA	NA	NA	0	0.358695652173913	NA	NCK1
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCK2
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCKAP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCKAP1L
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCKAP5
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCKAP5L
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCKIPSD
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCL
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCLN
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCOA1
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCOA2
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCOA3
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCOA4
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCOA5
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCOA6
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCOA7
NA	NA	NA	NA	NA	NA	NA	NA	NA	NCOR1
