MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGXT2
NA	NA	NA	NA	NA	NA	NA	NA	NA	AHCTF1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AHCY
NA	NA	NA	NA	NA	NA	NA	NA	NA	AHCYL1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AHCYL2
NA	NA	NA	NA	NA	NA	NA	NA	NA	AHDC1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AHI1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AHNAK
NA	NA	NA	NA	NA	NA	NA	NA	NA	AHNAK2
NA	NA	NA	NA	NA	NA	NA	NA	NA	AHR
NA	NA	NA	NA	NA	NA	NA	NA	NA	AHRR
NA	NA	NA	NA	NA	NA	NA	NA	NA	AHSA1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AHSA2
NA	NA	NA	NA	NA	NA	NA	NA	NA	AHSG
NA	NA	NA	NA	NA	NA	NA	NA	NA	AHSP
NA	NA	NA	NA	NA	NA	NA	NA	NA	AICDA
NA	NA	NA	NA	NA	NA	NA	NA	NA	AIDA
0.538564302199471	0.09	NA	NA	NA	NA	0	0.0072463768115942	NA	AIF1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AIF1L
NA	NA	NA	NA	NA	NA	NA	NA	NA	AIFM2
0.719040110548654	0.04	NA	NA	NA	NA	0	0.0072463768115942	NA	AIFM3
NA	NA	NA	NA	NA	NA	NA	NA	NA	AIG1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AIM1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AIM1L
1.11081924503457	0.017	NA	NA	NA	NA	0	0.0072463768115942	NA	AIM2
NA	NA	NA	NA	NA	NA	NA	NA	NA	AIMP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AIMP2
