MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABLIM3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABO
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABR
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABRA
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABT1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABTB1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABTB2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACAA1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACAA2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACACA
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACACB
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACAD10
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACAD11
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACAD8
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACAD9
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACADL
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACADM
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACADS
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACADSB
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACADVL
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACAN
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACAP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACAP2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACAP3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACAT1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACAT2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACBD3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACBD4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACBD5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACBD6
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACBD7
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACCS
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACD
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACE
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACER1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACER2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACER3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACHE
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACIN1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACLY
0.0103960886524383	0.548	NA	NA	NA	NA	0	0.072463768115942	NA	ACMSD
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACN9
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACO1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACO2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACOT1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACOT11
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACOT13
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACOT2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACOT4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACOT6
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACOT7
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACOT8
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACOX1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACOX2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACOX3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACOXL
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACP2
2.07248353956684	0	NA	NA	NA	NA	0	0.0072463768115942	NA	ACP5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACP6
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACPL2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACPP
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACPT
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACR
NA	NA	NA	NA	NA	NA	NA	NA	NA	ACRBP
